campo	contenido_de	fuente_captura
hex	52	zeno.org:wilhelm-de-erstes-buch
nombre	DAS STILLEHALTEN, DER BERG	zeno.org:wilhelm-de-erstes-buch
chinese	艮	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Gen	zeno.org:wilhelm-de-erstes-buch
hex_font	䷳	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
intro	52. Gen / DAS STILLEHALTEN, DER BERG\noben Gen, das Stillehalten, der Berg\nunten Gen, das Stillehalten, der Berg\nDas Bild des Zeichens ist der Berg, der jüngste Sohn von Himmel und Erde. Das Männliche ist oben, wohin es seiner Natur nach strebt, das Weibliche unten, wohin seine Bewegungsrichtung führt. So ist Ruhe vorhanden, da die Bewegung ihr normales Ende erreicht hat.\n\nAuf den Menschen angewandt, ist das Problem gezeigt, die Ruhe des Herzens zu erlangen. Das Herz ist sehr schwer zur Ruhe zu bringen. Während der Buddhismus die Ruhe erstrebt durch Abklingen  jeglicher Bewegung im Nirwana, ist der Standpunkt des Buchs der Wandlungen, daß Ruhe nur ein polarer Zustand ist, der als seine Ergänzung dauernd die Bewegung hat.\n\nVielleicht sind in den Worten des Textes Anweisungen zur Yogaübung enthalten.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Stillehalten seines Rückens,\nso daß er seinen Leib nicht mehr empfindet.\nEr geht in seinen Hof und sieht nicht seine Menschen.\nKein Makel.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Die wahre Ruhe ist die, daß man stillehält, wenn die Zeit gekommen ist, stillezuhalten, und daß man vorangeht, wenn die Zeit gekommen ist, voranzugehen. Auf diese Weise ist Ruhe und Bewegung in Übereinstimmung mit den Erfordernissen der Zeit, und dadurch gibt es Licht des Lebens.\n\nDas Zeichen ist Ende und Anfang aller Bewegung. Der Rücken wird genannt, weil im Rücken alle Nervenstränge sich befinden, die die Bewegung vermitteln. Wenn man die Bewegung dieser Rückenmarksnerven zum Stillstand bringt, so verschwindet sozusagen das Ich in seiner Unruhe. Wenn nun der Mensch innerlich so ruhig geworden ist, dann mag er sich der Außenwelt zuwenden. Er sieht in ihr nicht mehr den Kampf und das Gewühl der Einzelwesen und hat deshalb die wahre Ruhe, wie sie nötig ist, um die großen Gesetze des Weltgeschehens zu verstehen und dementsprechend zu handeln. Wer aus dieser Tiefenlage heraus handelt, der macht keinen Fehler.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Zusammenstehende Berge: das Bild des Stillehaltens.\nSo geht der Edle mit seinen Gedanken nicht über seine\nLage hinaus.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Das Herz denkt dauernd. Das läßt sich nicht ändern. Aber es sollen die Bewegungen des Herzens, d.h. die Gedanken, sich auf die gegenwärtige Lebenslage beschränken. Alles Darüberhinausdenken macht das Herz nur wund.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Stillehalten seiner Zehen.\nKein Makel.\nFördernd ist dauernde Beharrlichkeit.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Das Ruhigbleiben der Zehen bedeutet ein Stehenbleiben, noch ehe man angefangen hat, sich zu bewegen. Der Anfang ist die Zeit, da man wenig Fehler macht. Man ist noch in Übereinstimmung mit der ursprünglichen Unschuld. Man sieht die Dinge intuitiv, wie sie sind, noch unbeeinflußt von der Verdunkelung durch Interessen und Begehrlichkeit. Wer anfangs stillesteht, solange er die Wahrheit noch nicht verlassen hat, der findet das richtige. Nur ist dauernde Festigkeit nötig, damit man nicht in ein willenloses Sichtreibenlassen hineingerät.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Stillehalten seiner Waden.\nEr kann den nicht retten, dem er folgt.\nSein Herz ist nicht froh.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Das Bein kann sich nicht selbständig bewegen, sondern ist in seiner Bewegung abhängig von der Bewegung des Leibes. Wenn der Leib in starker Bewegung ist und das Bein wird plötzlich angehalten, so führt die weitergehende Bewegung des Leibes dazu, daß der Mensch fällt.\n\nSo ist es auch mit einem Menschen, der sich im Gefol ge einer stärkeren Persönlichkeit befindet. Er wird mitgerissen. Selbst wenn er auf der Bahn des Unrechts einhält, so kann er doch den andern in seiner starken Bewegung nicht mehr aufhalten. Wo der Herr vorwärts drängt, kann ihn der Diener, auch wenn er es noch so gut meint, nicht retten.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Neun auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Stillehalten seiner Hüften.\nSteifmachen seines Kreuzbeins.\nGefährlich. Das Herz erstickt.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Es handelt sich hier um erzwungene Ruhe. Das Herz, das in der Unruhe ist, soll gewaltsam gebändigt werden. Aber das Feuer, das gewaltsam zurückgedrängt wird, wandelt sich zu beizendem Rauch, der erstickend sich ausbreitet.\n\nBei Meditations- und Konzentrationsübungen darf man daher nicht gewaltsam vorgehen. Sondern die Ruhe muß sich ganz natürlich aus einem Zustand innerer Sammlung heraus entwickeln. Wenn gewaltsam durch künstliches Steifhalten die Ruhe erzwungen werden soll, so wird die Meditation zu großen Unzuträglichkeiten führen.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Sechs auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Stillehalten seines Rumpfes.\nKein Makel.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	Ruhighalten des Rückens, wie es in den Worten zum Gesamtzeichen erwähnt ist, bedeutet, daß man das Ich ver gißt. Das ist die höchste Stufe der Ruhe. Hier ist diese Stufe der Ruhe noch nicht erreicht. Man vermag es zwar schon, das Ich mit seinen Gedanken und Regungen stillezuhalten. Aber man wird doch noch nicht ganz frei davon. Immerhin ist das Stillehalten des Herzens eine wichtige Funktion, die mit der Zeit zum völligen Ausschalten der egoistischen Triebe führt. Wenn man auch noch nicht von allen Gefahren des Zweifels und der Unruhe frei bleibt, so ist dennoch diese Gemütshaltung, da sie auf dem Weg zu jener andern, höheren liegt, kein Fehler.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Sechs auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Stillehalten seiner Kinnladen.\nDie Worte haben Ordnung.\nDie Reue schwindet.	zeno.org:wilhelm-de-erstes-buch
L5_comentario	In gefährlicher Lage, namentlich solange man der Lage nicht gewachsen ist, ist man sehr leicht mit Reden und vorlauten Scherzen bei der Hand. Aber durch unvorsichtiges Reden kommt man leicht in Situationen, da man nachher manches zu bereuen hat. Allein, wenn man sich im Reden zurückhält, so bekommen die Worte immer mehr eine feste Gestalt, und dann verschwindet jeder Anlaß zur Reue.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	O Oben eine Neun bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Großzügiges Stillehalten.\nHeil!	zeno.org:wilhelm-de-erstes-buch
L6_comentario	Hier ist die Vollendung der Bemühung zur Ruhe gegeben. Man ist ruhig nicht in kleinlich abgezirkelter Weise im einzelnen, sondern eine allgemeine Resignation im ganzen gibt Ruhe und Heil für alles Einzelne.	zeno.org:wilhelm-de-erstes-buch
yong_etiqueta		zeno.org:wilhelm-de-erstes-buch
yong_oraculo		zeno.org:wilhelm-de-erstes-buch
yong_comentario		zeno.org:wilhelm-de-erstes-buch
hex_fin		
