section	hex	field	classification	de_preview	baynes_preview
oracle	1	intro	translation_pair	1. KIAN / DAS SCHÖPFERISCHE oben Kiän, das Schöpferische, der Himmel unten Kiän, das Schöpferische, der Himmel as Zeiche…	The first hexagram is made up of six unbroken lines. These unbroken lines stand for the primal power, which is lightgivi…
oracle	1	judgment	translation_pair	Das Schöpferische wirkt erhabenes Gelingen, fördernd durch Beharrlichkeit. Dem ursprünglichen Sinne nach gehören die Eig…	THE CREATIVE works sublime success, Furthering through perseverance.
oracle	1	image	translation_pair	Des Himmels Bewegung ist kraftvoll. So macht der Edle sich stark und unermüdlich. Die Verdoppelung des Zeichens Kiän, de…	The movement of heaven is full of power. Thus the superior man makes himself strong and untiring.
oracle	1	line:1	translation_pair	Verdeckter Drache. Handle nicht. Der Drache hat in China eine ganz andere Bedeutung als in der westlichen ¹ Das Schöpfer…	Hidden dragon. Do not act.
oracle	1	line:2	translation_pair	Erscheinender Drache auf dem Feld. Fördernd ist es, den großen Mann zu sehen. Hier beginnen die Wirkungen der lichten Kr…	Dragon appearing in the field. It furthers one to see the great man.
oracle	1	line:3	translation_pair	Der Edle ist den ganzen Tag schöpferisch tätig. Des Abends noch ist er voll innerer Sorge. Gefahr. Kein Makel. Ein Wirku…	All day long the superior man is creatively active. At nightfall his mind is still beset with cares. Danger. No blame.
oracle	1	line:4	translation_pair	Schwankender Aufschwung über die Tiefe. Kein Makel. Hier ist die Stelle des Übergangs erreicht, wo die Freiheit sich bet…	Wavering flight over the depths. No blame.
oracle	1	line:5	translation_pair	Fliegender Drache am Himmel. Fördernd ist es, den großen Mann zu sehen. Hier ist der große Mann in der Sphäre der Himmli…	Flying dragon in the heavens. It furthers one to see the great man.
oracle	1	line:6	translation_pair	Hochmütiger Drache wird zu bereuen haben. Wenn man so hoch emporsteigen will, daß man die Fühlung mit den übrigen Mensch…	Arrogant dragon will have cause to repent.
oracle	1	yong	translation_pair	Es erscheint eine Schar von Drachen ohne Haupt. Heil! Wenn alle Linien Neunen sind, so kommt das ganze Zeichen in Bewegu…	There appears a flight of dragons without heads. Good fortune.
ten_wings	1	judgment_ten_wings	translation_pair	Bemerkung: Dieser Kommentar, der dem Kungtse wohl mit Recht zuge- schrieben wird, erklärt sowohl die Namen der einzelnen…	According to the original meaning, the attributes [sublimity, potentiality of success, power to further, perseverance] a…
ten_wings	1	image_ten_wings	translation_pair	Bemerkung: Dieser Kommentar geht von der Kombination der beiden Halbzeichen aus und entnimmt daraus die Situation des Ge…	Since there is only one heaven, the doubling of the trigram Ch'ien, of which heaven is the image, indicates the movement…
ten_wings	1	line:1_ten_wings	translation_pair	Verdeckter Drache. Handle nicht."" Das Lichte ist nämlich noch unten. Der unterste Platz ist sozusagen noch ganz unterhal…	In China the dragon has a meaning altogether different from that given it in the Western world. The dragon is a symbol o…
ten_wings	1	line:2_ten_wings	translation_pair	,Erscheinender Drache auf dem Feld."" """" Der Charakter wirkt schon ins Weite. Der zweite Platz ist die Oberfläche der Erd…	Here the effects of the light-giving power begin to manifest themselves. In terms of human affairs, this means that the …
ten_wings	1	line:3_ten_wings	translation_pair	,,Der Edle ist den ganzen Tag schöpferisch tätig."" Man geht hin und her auf dem rechten Weg. Der dritte Platz als Platz …	A sphere of influence opens up for the great man. His fame begins to spread. The masses flock to him. His inner power is…
ten_wings	1	line:4_ten_wings	translation_pair	,,Schwankender Aufschwung über die Tiefe."" Der Fortschritt bedeutet keinen Fehler. Hier ist die obere Grenze des Bereich…	A place of transition has been reached, and free choice can enter in. A twofold possibility is presented to the great ma…
ten_wings	1	line:5_ten_wings	translation_pair	,,Fliegender Drache am Himmel."" Das zeigt den großen Mann bei der Arbeit. Hier ist der Herr des Zeichens auf ausgezeichn…	Here the great man has attained the sphere of the heavenly beings. His influence spreads and becomes visible throughout …
ten_wings	1	line:6_ten_wings	translation_pair	,,Hochmütiger Drache wird zu bereuen haben."" Denn was voll ist, kann nicht dauern. Alles, was die äußerste Stufe erreich…	When a man seeks to climb so high that he loses touch with the rest of mankind, he becomes isolated, and this necessaril…
ten_wings	1	wen_yen	de_only	Über das ganze Zeichen: a, 1 Die Erhabenheit ist von allem Guten das Höchste. Das Ge- lingen ist das Zusammentreffen von…	
oracle	2	intro	translation_pair	2. KUN / DAS EMPFANGENDE oben Kun, das Empfangende, die Erde unten Kun, das Empfangende, die Erde as Zeichen besteht aus…	This hexagram is made up of broken lines only. The broken line represents the dark, yielding, receptive primal power of …
oracle	2	judgment	translation_pair	Das Empfangende wirkt erhabenes Gelingen, Fördernd durch die Beharrlichkeit einer Stute. Hat der Edle etwas zu unternehm…	THE RECEPTIVE brings about sublime success, Furthering through the perseverance of a mare. If the superior man undertake…
oracle	2	image	translation_pair	Der Zustand der Erde ist die empfangende Hingebung. So trägt der Edle weiträumigen Wesens die Außenwelt. Ebenso wie es n…	The earth's condition is receptive devotion. Thus the superior man who has breadth of character Carries the outer world.
oracle	2	line:1	translation_pair	Tritt man auf Reif, so naht das feste Eis. Wie die lichte Kraft das Leben darstellt, so die schattige Kraft den Tod. Im …	When there is hoarfrost underfoot, Solid ice is not far off.
oracle	2	line:2	translation_pair	Gerade, rechtwinklig, groß. Ohne Absicht bleibt doch nichts ungefördert. Der Himmel hat als Symbol den Kreis, die Erde d…	Straight, square, great. Without purpose, Yet nothing remains unfurthered.
oracle	2	line:3	translation_pair	Verborgene Linien; man vermag beharrlich zu bleiben. Folgst du etwa eines Königs Diensten, So suche nicht Werke, aber vo…	Hidden lines. One is able to remain persevering. If by chance you are in the service of a king, Seek not works, but brin…
oracle	2	line:4	translation_pair	Zugebundener Sack. Kein Makel; kein Lob. Das Schattige öffnet sich, wenn es sich bewegt, und schließt sich, wenn es ruht…	A tied-up sack. No blame, no praise.
oracle	2	line:5	translation_pair	Gelbes Untergewand bringt erhabenes Heil! Gelb ist die Farbe der Erde und der Mitte, das Symbol des Zuverlässigen und Ec…	A yellow lower garment brings supreme good fortune.
oracle	2	line:6	translation_pair	Drachen kämpfen auf dem Anger. Ihr Blut ist schwarz und gelb. Auf dem obersten Platz sollte das Schattige dem Lichten we…	Dragons fight in the meadow. Their blood is black and yellow.
oracle	2	yong	translation_pair	den in das Zeichen des Schöpferischen. Es gewinnt so die Kraft der Dauer im Festhalten des Rechten. Es gibt zwar keinen …	Lasting perseverance furthers.
ten_wings	2	judgment_ten_wings	translation_pair	Vollkommen fürwahr ist die Erhabenheit des Empfangenden. Alle Wesen verdanken ihm ihre Geburt, da es hingebend das Himml…	The four fundamental aspects of the Creative—""sublime success, furthering through perseverance""—are also attributed to t…
ten_wings	2	image_ten_wings	translation_pair	des Schöpfers entspricht. Das Rechtwinklige, Feste bezieht sich auf das Un- veränderliche. Jede Art von Lebewesen hat ih…	Just as there is only one heaven, so too there is only one earth. In the hexagram of heaven the doubling of the trigram …
ten_wings	2	line:1_ten_wings	baynes_only		Just as the light-giving power represents life, so the dark power, the shadowy, represents death. When the first hoarfro…
