campo	pass02	pass04	reconciliado	estado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
ruler_note	Sun und\nLi\nie Herren des Zeichens sind die Neun auf zweitem und die Neun auf\nDi\nfünftem Platz. Der Gedanke des Zeichens beruht auf der Einschließung\ndes Festen. Der zweite und der fünfte Strich sind beide ihrem Wesen nach\nfest und zentral und eingeschlossen zwischen dunklen Linien. Darum sind\nbeide Striche sowohl konstituierende als beherrschende Herren des Zeichens.	ie Herren des Zeichens sind die Neun auf zweitem und die Neun auf\nauf der Einstien\nSun und\ndes Festen. Der zweite und der fünfte Strich sind beide ihrem Wesen nach\nfest und zentral und eingeschlossen zwischen dunklen Linien. Darum sind\nbeide Striche sowohl konstituierende als beherrschende Herren des Zeichens.\nLi	ie Herren des Zeichens sind die Neun auf zweitem und die Neun auf\nauf der Einstien\nSun und\ndes Festen. Der zweite und der fünfte Strich sind beide ihrem Wesen nach\nfest und zentral und eingeschlossen zwischen dunklen Linien. Darum sind\nbeide Striche sowohl konstituierende als beherrschende Herren des Zeichens.\nLi	disputed	507-510	Die Herren des Zeichens sind die Neun auf zweitem und die Neun auf\nDi\nfünftem Platz. Der Gedanke des Zeichens beruht auf der Einschließung\ndes Festen. Der zweite und der fünfte Strich sind beide ihrem Wesen nach\nfest und zentral und eingeschlossen zwischen dunklen Linien. Darum sind\nbeide Striche sowohl konstituierende als beherrschende Herren des Zeichens.	cerrado	coincide_ninguno
sequence	Wenn man empordringt, ohne aufzuhören, so gerät man\nsicher in Bedrängnis. Darum folgt darauf das Zeichen: die\nBedrängnis.	Wenn man empordringt, ohne aufzuhören, so gerät man\nsicher in Bedrängnis. Darum folgt darauf das Zeichen: die\nBedrängnis.\nBedrängnis bedeutet sich treffen.\nPRO E MED ALT, POMU\nĽ\nts\nJ\nf\nIT\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzei-\nchen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zei-\nchhen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.	Wenn man empordringt, ohne aufzuhören, so gerät man\nsicher in Bedrängnis. Darum folgt darauf das Zeichen: die\nBedrängnis.	disputed	507-510	Wenn man empordringt, ohne aufzuhören, so gerät man\nsicher in Bedrängnis. Darum folgt darauf das Zeichen: die\nBedrängnis.\nBedrängnis bedeutet sich treffen.\nPRO E MED ALT, POMU\nĽ\nts\nJ\nf\nIT\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzeichen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zeichhen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.	cerrado	coincide_pass04
misc_notes	Bedrängnis bedeutet sich treffen.\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzei-\nchen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zei-\nchen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.		Bedrängnis bedeutet sich treffen.\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzei-\nchen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zei-\nchen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.	pass02_only	507-510	Bedrängnis bedeutet sich treffen.\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzeichen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zeichen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.	cerrado	coincide_pass02
commentary_decision	Die Bedrängnis. Das Feste ist eingeschlossen. Gefahr und\nHeiterkeit. In Bedrängnis sein, ohne die Kraft des Gelingens\nzu verlieren, das vermag nur der Edle.\n"\nBeharrlichkeit. Der große Mann ist von Heil":\nweil er fest und zentral ist.\n"\nWenn man etwas zu sagen hat, wird es nicht geglaubt."\nWer den Mund wichtig nimmt, kommt in Ratlosigkeit.\nDer Name des Zeichens ist erklärt aus der Gestalt, indem auf verschiedene\nWeise die festen Striche zwischen dunklen Strichen eingeschlossen sind.\nDas Gelingen in der Zeit der Bedrängnis kommt daher, daß man in der Ge-\nfahr (das untere Zeichen Kan) nicht die Heiterkeit (das obere Zeichen Dui)\nverliert. Die festen und zentralen Striche, die den großen Mann andeuten,\nsind die Herren des Zeichens an zweiter und fünfter Stelle. Das Reden wird\nebenfalls durch das Zeichen Dui nahegelegt. Aber man findet kein Gehör.\nDas Zeichen Kan bedeutet Ohrenschmerz, also Abneigung zu hören.	Die Bedrängnis. Das Feste ist eingeschlossen. Gefahr und\nHeiterkeit. In Bedrängnis sein, ohne die Kraft des Gelingens\nzu verlieren, das vermag nur der Edle.\nBeharrlichkeit. Der große Mann ist von Heil":\nn\nweil er fest und zentral ist.\nWenn man etwas zu sagen hat, wird es nicht geglaubt."\nn\nWer den Mund wichtig nimmt, kommt in Ratlosigkeit.\nDer Name des Zeichens ist erklärt aus der Gestalt, indem auf verschiedene\nWeise die festen Striche zwischen dunklen Strichen eingeschlossen sind.\nDas Gelingen in der Zeit der Bedrängnis kommt daher, daß man in der Ge-\nfahr (das untere Zeichen Kan) nicht die Heiterkeit (das obere Zeichen Dui)\nverliert. Die festen und zentralen Striche, die den großen Mann andeuten,\nsind die Herren des Zeichens an zweiter und fünfter Stelle. Das Reden wird\nebenfalls durch das Zeichen Dui nahegelegt. Aber man findet kein Gehör.\nDas Zeichen Kan bedeutet Ohrenschmerz, also Abneigung zu hören.	Die Bedrängnis. Das Feste ist eingeschlossen. Gefahr und\nHeiterkeit. In Bedrängnis sein, ohne die Kraft des Gelingens\nzu verlieren, das vermag nur der Edle.\nBeharrlichkeit. Der große Mann ist von Heil":\nn\nweil er fest und zentral ist.\nWenn man etwas zu sagen hat, wird es nicht geglaubt."\nn\nWer den Mund wichtig nimmt, kommt in Ratlosigkeit.\nDer Name des Zeichens ist erklärt aus der Gestalt, indem auf verschiedene\nWeise die festen Striche zwischen dunklen Strichen eingeschlossen sind.\nDas Gelingen in der Zeit der Bedrängnis kommt daher, daß man in der Ge-\nfahr (das untere Zeichen Kan) nicht die Heiterkeit (das obere Zeichen Dui)\nverliert. Die festen und zentralen Striche, die den großen Mann andeuten,\nsind die Herren des Zeichens an zweiter und fünfter Stelle. Das Reden wird\nebenfalls durch das Zeichen Dui nahegelegt. Aber man findet kein Gehör.\nDas Zeichen Kan bedeutet Ohrenschmerz, also Abneigung zu hören.	disputed	507-510	Die Bedrängnis. Das Feste ist eingeschlossen. Gefahr und\nHeiterkeit. In Bedrängnis sein, ohne die Kraft des Gelingens\nzu verlieren, das vermag nur der Edle.\nBeharrlichkeit. Der große Mann ist von Heil":\nn\nweil er fest und zentral ist.\nWenn man etwas zu sagen hat, wird es nicht geglaubt."\nn\nWer den Mund wichtig nimmt, kommt in Ratlosigkeit.\nDer Name des Zeichens ist erklärt aus der Gestalt, indem auf verschiedene\nWeise die festen Striche zwischen dunklen Strichen eingeschlossen sind.\nDas Gelingen in der Zeit der Bedrängnis kommt daher, daß man in der Gefahr (das untere Zeichen Kan) nicht die Heiterkeit (das obere Zeichen Dui)\nverliert. Die festen und zentralen Striche, die den großen Mann andeuten,\nsind die Herren des Zeichens an zweiter und fünfter Stelle. Das Reden wird\nebenfalls durch das Zeichen Dui nahegelegt. Aber man findet kein Gehör.\nDas Zeichen Kan bedeutet Ohrenschmerz, also Abneigung zu hören.	cerrado	coincide_pass04
commentary_image	Das Bild der Erschöpfung ergibt sich aus der Stellung der beiden Halbzei-\nchen zueinander: das Wasser ist unterhalb des Sees, also abgeflossen. Die\nEinzelzeichen ergeben dann den Ratschlag für das Benehmen in der Zeit\nder Erschöpfung: das Zeichen Kan, Abgrund, Gefahr, deutet auf Einsetzung\ndes Lebens, das Zeichen Dui, Heiterkeit, auf das dem eignen Willen Folgen.	[W]\nDas Bild der Erschöpfung ergibt sich aus der Stellung der beiden Halbzei-\nchen zueinander: das Wasser ist unterhalb des Sees, also abgeflossen. Die\nEinzelzeichen ergeben dann den Ratschlag für das Benehmen in der Zeit\nder Erschöpfung: das Zeichen Kan, Abgrund, Gefahr, deutet auf Einsetzung\ndes Lebens, das Zeichen Dui, Heiterkeit, auf das dem eignen Willen Folgen.	[W]\nDas Bild der Erschöpfung ergibt sich aus der Stellung der beiden Halbzei-\nchen zueinander: das Wasser ist unterhalb des Sees, also abgeflossen. Die\nEinzelzeichen ergeben dann den Ratschlag für das Benehmen in der Zeit\nder Erschöpfung: das Zeichen Kan, Abgrund, Gefahr, deutet auf Einsetzung\ndes Lebens, das Zeichen Dui, Heiterkeit, auf das dem eignen Willen Folgen.	disputed	507-510	[W]\nDas Bild der Erschöpfung ergibt sich aus der Stellung der beiden Halbzeichen zueinander: das Wasser ist unterhalb des Sees, also abgeflossen. Die\nEinzelzeichen ergeben dann den Ratschlag für das Benehmen in der Zeit\nder Erschöpfung: das Zeichen Kan, Abgrund, Gefahr, deutet auf Einsetzung\ndes Lebens, das Zeichen Dui, Heiterkeit, auf das dem eignen Willen Folgen.	cerrado	coincide_pass04
L1_b_comentario	Man gerät in ein finsteres Tal."\n"\nMan ist finster und nicht klar.\nDas Zeichen Kan steht im Norden, wo es finster ist. Das Kernzeichen ist Li,\nKlarheit. Dieser Strich steht außerhalb der Klarheit. Sonst ist der erste\nStrich das Bild des Fußes, der Zehen. In Zeiten der Bedrängnis aber sitzt der\nMensch, darum ist der Anfangsstrich hier die Stelle, auf der man sitzt. Das\nfinstere Tal ist der erste Strich im Zeichen Kan, das Loch im Abgrund.	"Man gerät in ein finsteres Tal."\nMan ist finster und nicht klar.\nDas Zeichen Kan steht im Norden, wo es finster ist. Das Kernzeichen ist Li,\nKlarheit. Dieser Strich steht außerhalb der Klarheit. Sonst ist der erste\nStrich das Bild des Fußes, der Zehen. In Zeiten der Bedrängnis aber sitzt der\nMensch, darum ist der Anfangsstrich hier die Stelle, auf der man sitzt. Das\nfinstere Tal ist der erste Strich im Zeichen Kan, das Loch im Abgrund.	"Man gerät in ein finsteres Tal."\nMan ist finster und nicht klar.\nDas Zeichen Kan steht im Norden, wo es finster ist. Das Kernzeichen ist Li,\nKlarheit. Dieser Strich steht außerhalb der Klarheit. Sonst ist der erste\nStrich das Bild des Fußes, der Zehen. In Zeiten der Bedrängnis aber sitzt der\nMensch, darum ist der Anfangsstrich hier die Stelle, auf der man sitzt. Das\nfinstere Tal ist der erste Strich im Zeichen Kan, das Loch im Abgrund.	disputed	507-510	"Man gerät in ein finsteres Tal."\nMan ist finster und nicht klar.\nDas Zeichen Kan steht im Norden, wo es finster ist. Das Kernzeichen ist Li,\nKlarheit. Dieser Strich steht außerhalb der Klarheit. Sonst ist der erste\nStrich das Bild des Fußes, der Zehen. In Zeiten der Bedrängnis aber sitzt der\nMensch, darum ist der Anfangsstrich hier die Stelle, auf der man sitzt. Das\nfinstere Tal ist der erste Strich im Zeichen Kan, das Loch im Abgrund.	cerrado	coincide_pass04
L3_b_comentario	"Er stützt sich auf Dornen und Disteln":\nטר\nEr beruht auf einem Harten.\n"Er geht in sein Haus und sieht nicht seine Frau":\nDas ist unglückverheißend.\nDie Bedrängnis dieses Strichs kommt durch den harten Strich, der unter ihm\nist, und den harten Strich, der wie ein Stein über ihm ist. So kann er we-\nder vorwärts noch zurück. Er stellt einen Menschen dar, der einen falschen\nPosten einnimmt und so in einer unhaltbaren Stellung ist. Die beigefügten\nUrteile reden daher direkt von dem bevorstehenden Tode; darauf bezieht\nsich das "unglückverheißend", das im Text b steht.	"Er stützt sich auf Dornen und Disteln":\n'\n具\n​194\nDie\n-\nLi\nste\nda\nD&\nHea\nfer\ndirt\n정\n​F\nEr beruht auf einem Harten.\n"Er geht in sein Haus und sieht nicht seine Frau":\nDas ist unglückverheißend.\nDie Bedrängnis dieses Strichs kommt durch den harten Strich, der unter ihm\nist, und den harten Strich, der wie ein Stein über ihm ist. So kann er we-\nder vorwärts noch zurück. Er stellt einen Menschen dar, der einen falschen\nPosten einnimmt und so in einer unhaltbaren Stellung ist. Die beigefügten\nUrteile reden daher direkt von dem bevorstehenden Tode; darauf bezieht\nsich das "unglückverheißend", das im Text b steht.	"Er stützt sich auf Dornen und Disteln":\n'\n具\n​194\nDie\n-\nLi\nste\nda\nD&\nHea\nfer\ndirt\n정\n​F\nEr beruht auf einem Harten.\n"Er geht in sein Haus und sieht nicht seine Frau":\nDas ist unglückverheißend.\nDie Bedrängnis dieses Strichs kommt durch den harten Strich, der unter ihm\nist, und den harten Strich, der wie ein Stein über ihm ist. So kann er we-\nder vorwärts noch zurück. Er stellt einen Menschen dar, der einen falschen\nPosten einnimmt und so in einer unhaltbaren Stellung ist. Die beigefügten\nUrteile reden daher direkt von dem bevorstehenden Tode; darauf bezieht\nsich das "unglückverheißend", das im Text b steht.	disputed	507-510	"Er stützt sich auf Dornen und Disteln":\n'\n具\n​194\nDie\nLi\nste\nda\nD&\nHea\nfer\ndirt\n정\n​F\nEr beruht auf einem Harten.\n"Er geht in sein Haus und sieht nicht seine Frau":\nDas ist unglückverheißend.\nDie Bedrängnis dieses Strichs kommt durch den harten Strich, der unter ihm\nist, und den harten Strich, der wie ein Stein über ihm ist. So kann er weder vorwärts noch zurück. Er stellt einen Menschen dar, der einen falschen\nPosten einnimmt und so in einer unhaltbaren Stellung ist. Die beigefügten\nUrteile reden daher direkt von dem bevorstehenden Tode; darauf bezieht\nsich das "unglückverheißend", das im Text b steht.	cerrado	coincide_pass04
L5_b_comentario	Abschneiden der Nase und Füße bedeutet, daß er seinen\nWillen noch nicht erlangt.\n"Sachte kommt die Freude",\nweil der Strich gerade und zentral ist.\n"Fördernd ist es, Opfer und Spenden zu bringen."\nDadurch erlangt man Glück.\nDer Strich ist zwischen dunklen Strichen eingeschlossen. Oben ist ein dunk-\nler Strich. Will er ihn beseitigen, so ist es, als würde ihm die Nase abge-\nschnitten. Will er sich nach unten wenden, so ist da auch ein solch hem-\nmender Strich: die Sechs auf drittem Platz; wollte man den entfernen, so wäre\nes, als würden einem die Füße abgeschnitten. Darum kann er seinen Willen\nnicht ausführen. Ebenso ist auch der Beamte, zu dem er in Beziehung der\nGleichartigkeit steht, nicht imstande, ihm zu helfen, weil auch er von dunk-\nlen Strichen eingeschlossen und bedrängt ist. Aber die starke Natur der\nbeiden garantiert den schließlichen Erfolg. Auch hier wird wie bei der Neun\nauf zweitem Platz das Opfer genannt.	Abschneiden der Nase und Füße bedeutet, daß er seinen\nWillen noch nicht erlangt.\nSachte kommt die Freude",\nweil der Strich gerade und zentral ist.\nFördernd ist es, Opfer und Spenden zu bringen."\nDadurch erlangt man Glück.\nDer Strich ist zwischen dunklen Strichen eingeschlossen. Oben ist ein dunk-\nler Strich. Will er ihn beseitigen, so ist es, als würde ihm die Nase abge-\nwwwww…………\nschnitten. Will er sich nach unten wenden, so ist da auch ein solch hem-\nmender Strich: die Sechs auf drittem Platz; wollte man den entfernen, so wäre\nes, als würden einem die Füße abgeschnitten. Darum kann er seinen Willen\nnicht ausführen. Ebenso ist auch der Beamte, zu dem er in Beziehung der\nGleichartigkeit steht, nicht imstande, ihm zu helfen, weil auch er von dunk-\nlen Strichen eingeschlossen und bedrängt ist. Aber die starke Natur der\nbeiden garantiert den schließlichen Erfolg. Auch hier wird wie bei der Neun\nauf zweitem Platz das Opfer genannt.	Abschneiden der Nase und Füße bedeutet, daß er seinen\nWillen noch nicht erlangt.\n"Sachte kommt die Freude",\nweil der Strich gerade und zentral ist.\n"Fördernd ist es, Opfer und Spenden zu bringen."\nDadurch erlangt man Glück.\nDer Strich ist zwischen dunklen Strichen eingeschlossen. Oben ist ein dunk-\nler Strich. Will er ihn beseitigen, so ist es, als würde ihm die Nase abge-\nschnitten. Will er sich nach unten wenden, so ist da auch ein solch hem-\nmender Strich: die Sechs auf drittem Platz; wollte man den entfernen, so wäre\nes, als würden einem die Füße abgeschnitten. Darum kann er seinen Willen\nnicht ausführen. Ebenso ist auch der Beamte, zu dem er in Beziehung der\nGleichartigkeit steht, nicht imstande, ihm zu helfen, weil auch er von dunk-\nlen Strichen eingeschlossen und bedrängt ist. Aber die starke Natur der\nbeiden garantiert den schließlichen Erfolg. Auch hier wird wie bei der Neun\nauf zweitem Platz das Opfer genannt.	disputed	507-510	Abschneiden der Nase und Füße bedeutet, daß er seinen\nWillen noch nicht erlangt.\nSachte kommt die Freude",\nweil der Strich gerade und zentral ist.\nFördernd ist es, Opfer und Spenden zu bringen."\nDadurch erlangt man Glück.\nDer Strich ist zwischen dunklen Strichen eingeschlossen. Oben ist ein dunkler Strich. Will er ihn beseitigen, so ist es, als würde ihm die Nase abgewwwww…………\nschnitten. Will er sich nach unten wenden, so ist da auch ein solch hemmender Strich: die Sechs auf drittem Platz; wollte man den entfernen, so wäre\nes, als würden einem die Füße abgeschnitten. Darum kann er seinen Willen\nnicht ausführen. Ebenso ist auch der Beamte, zu dem er in Beziehung der\nGleichartigkeit steht, nicht imstande, ihm zu helfen, weil auch er von dunklen Strichen eingeschlossen und bedrängt ist. Aber die starke Natur der\nbeiden garantiert den schließlichen Erfolg. Auch hier wird wie bei der Neun\nauf zweitem Platz das Opfer genannt.	cerrado	coincide_pass04
L6_a_oraculo	Er ist bedrängt von Ranken. Er bewegt sich unsicher und\nspricht: "Bewegung schafft Reue." Wenn man darüber Reue\nempfindet und sich aufmacht, so hat man Heil.	Er ist bedrängt von Ranken. Er bewegt sich unsicher und\nspricht: Bewegung schafft Reue." Wenn man darüber Reue\n"\nempfindet und sich aufmacht, so hat man Heil.	Er ist bedrängt von Ranken. Er bewegt sich unsicher und\nspricht: Bewegung schafft Reue." Wenn man darüber Reue\n"\nempfindet und sich aufmacht, so hat man Heil.	disputed	507-510	Er ist bedrängt von Ranken. Er bewegt sich unsicher und\nspricht: Bewegung schafft Reue." Wenn man darüber Reue\n"\nempfindet und sich aufmacht, so hat man Heil.	cerrado	coincide_pass04
hex_fin	47				507-510			
